ID,DATE,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,ELEVATION,PRCP
US1COJF00012013-04-11 00:00:00,2013-04-11,2013,4,11,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-12 00:00:00,2013-04-12,2013,4,12,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-13 00:00:00,2013-04-13,2013,4,13,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-16 00:00:00,2013-04-16,2013,4,16,39.5884,-105.075,1692.9,7.3
US1COJF00012013-04-18 00:00:00,2013-04-18,2013,4,18,39.5884,-105.075,1692.9,5.2
US1COJF00012013-04-19 00:00:00,2013-04-19,2013,4,19,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-20 00:00:00,2013-04-20,2013,4,20,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-21 00:00:00,2013-04-21,2013,4,21,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-22 00:00:00,2013-04-22,2013,4,22,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-23 00:00:00,2013-04-23,2013,4,23,39.5884,-105.075,1692.9,4.7
US1COJF00012013-04-25 00:00:00,2013-04-25,2013,4,25,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-26 00:00:00,2013-04-26,2013,4,26,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-27 00:00:00,2013-04-27,2013,4,27,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-28 00:00:00,2013-04-28,2013,4,28,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-29 00:00:00,2013-04-29,2013,4,29,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-30 00:00:00,2013-04-30,2013,4,30,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-01 00:00:00,2013-05-01,2013,5,1,39.5884,-105.075,1692.9,1.2
US1COJF00012013-05-02 00:00:00,2013-05-02,2013,5,2,39.5884,-105.075,1692.9,5.2
US1COJF00012013-05-03 00:00:00,2013-05-03,2013,5,3,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-04 00:00:00,2013-05-04,2013,5,4,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-05 00:00:00,2013-05-05,2013,5,5,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-06 00:00:00,2013-05-06,2013,5,6,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-07 00:00:00,2013-05-07,2013,5,7,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-08 00:00:00,2013-05-08,2013,5,8,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-13 00:00:00,2013-05-13,2013,5,13,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-14 00:00:00,2013-05-14,2013,5,14,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-15 00:00:00,2013-05-15,2013,5,15,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-17 00:00:00,2013-05-17,2013,5,17,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-18 00:00:00,2013-05-18,2013,5,18,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-19 00:00:00,2013-05-19,2013,5,19,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-22 00:00:00,2013-05-22,2013,5,22,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-23 00:00:00,2013-05-23,2013,5,23,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-24 00:00:00,2013-05-24,2013,5,24,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-25 00:00:00,2013-05-25,2013,5,25,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-26 00:00:00,2013-05-26,2013,5,26,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-27 00:00:00,2013-05-27,2013,5,27,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-28 00:00:00,2013-05-28,2013,5,28,39.5884,-105.075,1692.9,0.0
US1COJF00012013-05-31 00:00:00,2013-05-31,2013,5,31,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-01 00:00:00,2013-06-01,2013,6,1,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-02 00:00:00,2013-06-02,2013,6,2,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-03 00:00:00,2013-06-03,2013,6,3,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-04 00:00:00,2013-06-04,2013,6,4,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-06 00:00:00,2013-06-06,2013,6,6,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-07 00:00:00,2013-06-07,2013,6,7,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-08 00:00:00,2013-06-08,2013,6,8,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-09 00:00:00,2013-06-09,2013,6,9,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-10 00:00:00,2013-06-10,2013,6,10,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-11 00:00:00,2013-06-11,2013,6,11,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-12 00:00:00,2013-06-12,2013,6,12,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-13 00:00:00,2013-06-13,2013,6,13,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-14 00:00:00,2013-06-14,2013,6,14,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-15 00:00:00,2013-06-15,2013,6,15,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-18 00:00:00,2013-06-18,2013,6,18,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-19 00:00:00,2013-06-19,2013,6,19,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-20 00:00:00,2013-06-20,2013,6,20,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-21 00:00:00,2013-06-21,2013,6,21,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-22 00:00:00,2013-06-22,2013,6,22,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-23 00:00:00,2013-06-23,2013,6,23,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-25 00:00:00,2013-06-25,2013,6,25,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-26 00:00:00,2013-06-26,2013,6,26,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-27 00:00:00,2013-06-27,2013,6,27,39.5884,-105.075,1692.9,0.0
US1COJF00012013-06-28 00:00:00,2013-06-28,2013,6,28,39.5884,-105.075,1692.9,0.0
